drugs,smiles
CIPRO HC,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O.C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CU-7,[Cu]
VICKS FORMULA 44,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
RENOCAL-76,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.CC(=O)NC1=C(C(=C(C(=C1I)C(=O)[O-])I)NC(=O)C)I.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.[Na+]
CALCITRIOL,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
METRONIDAZOLE IN PLASTIC CONTAINER,CC1=NC=C(N1CCO)[N+](=O)[O-]
TOLCAPONE,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
ADDERALL XR 20,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.C([C@@H](C(=O)O)N)C(=O)O.[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O.OS(=O)(=O)O.OS(=O)(=O)O
TOBI PODHALER,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N
OXYCODONE HYDROCHLORIDE,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.Cl
ELETRIPTAN HYDROBROMIDE,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4.Br
SYNJARDY XR,CN(C)C(=N)N=C(N)N.CO[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)C2=CC(=C(C=C2)Cl)CC3=CC=C(C=C3)O[C@H]4CCOC4)O)O)O.Cl
PROPHENE 65,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.Cl
MEFLOQUINE HYDROCHLORIDE,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl
FEMINONE,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
RISPERIDONE,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
WYAMYCIN S,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
WELLBUTRIN SR,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
FORFIVO XL,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
OMIDRIA,CNC[C@@H](C1=CC(=CC=C1)O)O.C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
TOREMIFENE CITRATE,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Carmustine,C(CCl)NC(=O)N(CCCl)N=O
CALCIJEX,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
CHROMIC CHLORIDE IN PLASTIC CONTAINER,O.O.O.O.O.O.Cl[Cr](Cl)Cl
INTELENCE,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N
FERNISONE,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
KAFOCIN,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O.O.O
VERZENIO,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
ALPHALIN,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
ESMOLOL HYDROCHLORIDE,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl
HYDRO-D,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
DOLUTEGRAVIR SODIUM,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+]
HYSINGLA ER,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
LESCOL XL,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+]
INGREZZA,CC(C)C[C@@H]1CN2CCC3=CC(=C(C=C3[C@H]2C[C@H]1OC(=O)[C@H](C(C)C)N)OC)OC
DOPAMINE HYDROCHLORIDE AND DEXTROSE 5% IN PLASTIC CONTAINER,C1=CC(=C(C=C1CCN)O)O.Cl
VANDAZOLE,CC1=NC=C(N1CCO)[N+](=O)[O-]
DIPRIVAN,CC(C)C1=C(C(=CC=C1)C(C)C)O
FLONASE SENSIMIST ALLERGY RELIEF,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)C5=CC=CO5)C)O)F)C)F
MEDIHALER-ISO,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.CC(C)NCC(C1=CC(=C(C=C1)O)O)O.O.O.OS(=O)(=O)O
SECOBARBITAL SODIUM,CCCC(C)C1(C(=O)NC(=O)[N-]C1=O)CC=C.[Na+]
PROKETAZINE,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO
BETALIN S,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-]
WARFARIN SODIUM,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+]
RIBASPHERE,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
RETIN-A MICRO,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
RIBAVIRIN,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
PHENY-PAS-TEBAMIN,C1=CC=C(C=C1)OC(=O)C2=C(C=C(C=C2)N)O
INVEGA,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
SYMFI,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F.C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N.C(=C/C(=O)O)\C(=O)O
PEGANONE,CCN1C(=O)C(NC1=O)C2=CC=CC=C2
DRAX EXAMETAZIME,C[C@H](/C(=N/O)/C)[N-]CC(C)(C)C[N-][C@H](C)/C(=N/[O-])/C.O=[99Tc+3]
TRIPROLIDINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3.C[C@@H]([C@H](C1=CC=CC=C1)O)NC.Cl.Cl
DESOGESTREL AND ETHINYL ESTRADIOL,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
NUTRESTORE,C(CC(=O)N)[C@@H](C(=O)O)N
VALTOCO,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
LOTENSIN HCT,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
LOPRESSOR HCT,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
ADZENYS XR-ODT,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.C([C@@H](C(=O)O)N)C(=O)O.[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O.OS(=O)(=O)O.OS(=O)(=O)O
VYNDAMAX,C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl
CRIXIVAN,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.OS(=O)(=O)O
INDOMETHACIN,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
MUPIROCIN,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O
TRANXENE,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)[O-].[OH-].[K+].[K+]
AMIKACIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O
TORADOL,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O
HECTOROL,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
HEAD & SHOULDERS CONDITIONER,C1=CC(=S)N(C=C1)[O-].C1=CC(=S)N(C=C1)[O-].[Zn+2]
MICAFUNGIN SODIUM,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC(=C(C=C7)O)OS(=O)(=O)[O-])O)O)[C@@H](CC(=O)N)O)C)O)O)O.[Na+]
VASOCON,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl
TYRVAYA,C1[C@@H]2CNC[C@H]1C3=CC4=NC=CN=C4C=C23.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
LOPERAMIDE HYDROCHLORIDE,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl
SULFASALAZINE,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
METUBINE IODIDE,C[N+]1(CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C.[I-].[I-]
SYNALAR,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
LIDOCAINE HYDROCHLORIDE 0.4% IN DEXTROSE 5%,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
NITROGLYCERIN IN DEXTROSE 5%,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
TRADJENTA,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
DEXAMPEX,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O
LO-TROL,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O.Cl
VESICARE LS,C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5.C(CC(=O)O)C(=O)O
CAPTOPRIL,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
NITAZOXANIDE,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
INTRAROSA,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
LODINE,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
ACTIN-N,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N
TRIACORT,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O
M-PREDROL,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O
XIGDUO XR,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl.CN(C)C(=N)N=C(N)N.Cl
ARGATROBAN IN SODIUM CHLORIDE,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
SEIZALAM,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F.Cl
FLUDEOXYGLUCOSE F18,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)[18F])O)O)O
CHLOR-TRIMETON,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
ANTIVERT,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
Tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
VARUBI,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)C4=CC=CC=C4.O.Cl
VICOPRIN,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4
FOSCARNET SODIUM,C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]
ARTANE,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl
DROXIA,C(=O)(N)NO
CARDENE IN 0.86% SODIUM CHLORIDE IN PLASTIC CONTAINER,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl
ANCEF IN PLASTIC CONTAINER,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
SOMOPHYLLIN-DF,CN1C2=C(C(=O)N(C1=O)C)NC=N2
RANITIDINE HYDROCHLORIDE,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C.Cl
DECADRON,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
CLARITIN REDITABS,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
MEPROSPAN,CCCC(C)(COC(=O)N)COC(=O)N
PRISTIQ,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(CC(=O)O)C(=O)O.O
IODOTOPE,[Na+].[131I-]
FLUCINOLONE ACETONIDE,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
FIORINAL W/CODEINE,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.OP(=O)(O)O
DROPERIDOL,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
FOSPHENYTOIN SODIUM,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])C3=CC=CC=C3.[Na+].[Na+]
DESVENLAFAXINE,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
CARBIDOPA AND LEVODOPA,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
OXSORALEN,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
EFAVIRENZ,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
AMOXICILLIN AND CLAVULANATE POTASSIUM,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.C1[C@@H]2N(C1=O)C(/C(=C/CO)/O2)C(=O)[O-].[K+]
BENTYL PRESERVATIVE FREE,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
BYLVAY,CCCCC1(CN(C2=CC(=C(C=C2S(=O)(=O)N1)OCC(=O)N[C@H](C3=CC=C(C=C3)O)C(=O)N[C@@H](CC)C(=O)O)SC)C4=CC=CC=C4)CCCC.CCCCC1(CN(C2=CC(=C(C=C2S(=O)(=O)N1)OCC(=O)N[C@H](C3=CC=C(C=C3)O)C(=O)N[C@@H](CC)C(=O)O)SC)C4=CC=CC=C4)CCCC.O.O.O
DOCETAXEL,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
MINOLIRA,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl
P.A.S. SODIUM,C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+]
PENBRITIN,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
CYSTEINE HYDROCHLORIDE,C(C(C(=O)O)N)S.Cl
OSMITROL 20% IN WATER,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
NUPLAZID,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
MOMETASONE FUROATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C
DYNAPEN,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
MESALAMINE,C1=CC(=C(C=C1N)C(=O)O)O
SCOPOLAMINE,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4
TAMOXIFEN CITRATE,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
LANTHANUM CARBONATE,C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3]
MERCAPTOPURINE,C1=NC2=C(N1)C(=S)N=CN2
DUTREBIS,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F.C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N
LEVOBUNOLOL HYDROCHLORIDE,CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CCCC2=O)O.Cl
TROPICAMIDE,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
IMCIVREE,C[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)C(=O)N)CC2=CNC3=CC=CC=C32)CCCN=C(N)N)CC4=CC=CC=C4)CC5=CN=CN5.CC(=O)O.CC(=O)O.CC(=O)O
TETRABENAZINE,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
KAON CL-10,[Cl-].[K+]
PHISOHEX,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
DUO-MEDIHALER,CNC[C@@H](C1=CC(=CC=C1)O)O
ULTRACEF,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
EPIFOAM,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O
CORMAX,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
METAHYDRIN,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
VORTIOXETINE HYDROBROMIDE,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Br
SYNALGOS-DC,CCOC1=CC=C(C=C1)NC(=O)C
ADEMPAS,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
CEFPODOXIME PROXETIL,CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CSC(=N3)N)COC
ARIPIPRAZOLE,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
DURICEF,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
COLD CAPSULE V,C[C@H]([C@H](C1=CC=CC=C1)O)N.CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C/C(=O)O)\C(=O)O.Cl
PAMINE,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
TRUSOPT,CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl
GANIRELIX ACETATE,CCNC(=NCCCC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C)NCC.CC(=O)O.CC(=O)O
CORTENEMA,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
BANAN,CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CSC(=N3)N)COC
IBRANCE,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
UROPLUS DS,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
GANCICLOVIR,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
OSMITROL 15% IN WATER,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
SANSAC,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
THEOPHYL-SR,CN1C2=C(C(=O)N(C1=O)C)NC=N2
CYKLOKAPRON,C1CC(CCC1CN)C(=O)O
GALLIUM GA 68 GOZETOTIDE,[H+].C1=CC(=C(C=C1CCC(=O)NCCCCCC(=O)NCCCC[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O)CN(CCN(CC2=C(C=CC(=C2)CCC(=O)O)[O-])CC(=O)[O-])CC(=O)[O-])[O-].[68Ga+3]
VORTIOXETINE,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
IBUPROFEN LYSINE,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C(CCN)C[C@@H](C(=O)O)N
UROVIST MEGLUMINE DIU/CT,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
APRETUDE,C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
